"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\App.tsx", "TypeScript JSX", 0, 11, 0, 0, 3, 14
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\components\ui\alert.tsx", "TypeScript JSX", 0, 60, 0, 0, 7, 67
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\components\ui\badge.tsx", "TypeScript JSX", 0, 41, 0, 0, 6, 47
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\components\ui\button.tsx", "TypeScript JSX", 0, 53, 0, 0, 6, 59
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\components\ui\card.tsx", "TypeScript JSX", 0, 60, 0, 0, 9, 69
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 11, 0, 0, 3, 14
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 64, 0, 0, 6, 70
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\main.tsx", "TypeScript JSX", 0, 11, 0, 0, 2, 13
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\pages\CompetitionsPage\components\CompetitionCard\index.tsx", "TypeScript JSX", 0, 41, 0, 0, 5, 46
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\pages\CompetitionsPage\components\CompetitionSkeleton\index.tsx", "TypeScript JSX", 0, 18, 0, 0, 2, 20
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\pages\CompetitionsPage\components\CompetitionTag\index.tsx", "TypeScript JSX", 0, 23, 0, 0, 3, 26
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\pages\CompetitionsPage\index.tsx", "TypeScript JSX", 0, 145, 0, 4, 15, 164
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\pages\CompetitionsPage\modules\CompetitionGrid\index.tsx", "TypeScript JSX", 0, 41, 0, 0, 5, 46
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\pages\CompetitionsPage\types.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\shared\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 2, 7
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\styles\fonts.css", "CSS", 0, 0, 18, 0, 2, 20
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\styles\globals.css", "CSS", 0, 0, 122, 0, 6, 128
"c:\Users\Admin\Documents\VS Code Projects\project\services\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 17, 579, 140, 5, 85, 826